amazon_record_id,product_id,product_name,main_category,sub_category,rating_num,rating_count_num,discount_percentage_num,estimated_revenue_proxy,review_length_chars,vader_compound_score,vader_sentiment_label,lda_topic_id,lda_topic_label,lda_topic_probability
659,B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories,Accessories&Peripherals,4.1,15189.0,65,2682833.07,594,0.8735,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9665814092557693
660,B00AXHBBXU,"Casio FX-82MS 2nd Gen Non-Programmable Scientific Calculator, 240 Functions and 2-line Display, Black",OfficeProducts,OfficeElectronics,4.4,12179.0,5,6357438.0,252,0.8032,positive,1,"Topic 1: Value, Usability & Everyday Products",0.9275839197500763
661,B08MCD9JFY,"Tygot 10 Inches Big LED Ring Light for Camera, Phone tiktok YouTube Video Shooting and Makeup, 10"" inch Ring Light with 7 Feet Long Foldable and Lightweight Tripod Stand",Electronics,Cameras&Photography,3.8,12958.0,60,10353442.0,571,0.9754,positive,1,"Topic 1: Value, Usability & Everyday Products",0.9796300970273955
662,B083RCTXLL,"HP X200 Wireless Mouse with 2.4 GHz Wireless connectivity, Adjustable DPI up to 1600, ambidextrous Design, and 18-Month Long Battery Life. 3-Years Warranty (6VY95AA)",Computers&Accessories,Accessories&Peripherals,4.2,8258.0,43,5623698.0,920,-0.2614,negative,1,"Topic 1: Value, Usability & Everyday Products",0.9392181407398339
663,B08HLZ28QC,Oakter Mini UPS for 12V WiFi Router Broadband Modem | Backup Upto 4 Hours | WiFi Router UPS Power Backup During Power Cuts | UPS for 12V Router Broadband Modem | Current Surge & Deep Discharge Protection,Computers&Accessories,NetworkingDevices,4.1,11716.0,66,14047484.0,3719,0.9973,positive,1,"Topic 1: Value, Usability & Everyday Products",0.6462026209723158
664,B07GVR9TG7,"TP-Link Archer AC1200 Archer C6 Wi-Fi Speed Up to 867 Mbps/5 GHz + 400 Mbps/2.4 GHz, 5 Gigabit Ports, 4 External Antennas, MU-MIMO, Dual Band, WiFi Coverage with Access Point Mode, Black",Computers&Accessories,NetworkingDevices,4.4,35024.0,50,87524976.0,2092,0.9949,positive,1,"Topic 1: Value, Usability & Everyday Products",0.7690631825828546
665,B0856HY85J,"boAt Rockerz 550 Over Ear Bluetooth Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation, Without Mic (Black)",Electronics,"Headphones,Earbuds&Accessories",4.1,55192.0,64,99290408.0,2976,0.9954,positive,2,"Topic 2: Smart Devices, Wearables & Audio",0.7337730003999993
666,B07CD2BN46,Xiaomi Mi Wired in Ear Earphones with Mic Basic with Ultra Deep Bass & Aluminum Alloy Sound Chamber (Black),Electronics,"Headphones,Earbuds&Accessories",4.1,119466.0,28,51250914.0,7149,0.9985,positive,2,"Topic 2: Smart Devices, Wearables & Audio",0.8321357957310487
667,B07PLHTTB4,Zodo 8. 5 inch LCD E-Writer Electronic Writing Pad/Tablet Drawing Board (Paperless Memo Digital Tablet),Computers&Accessories,Accessories&Peripherals,3.5,9638.0,80,963800.0,298,0.8005,positive,1,"Topic 1: Value, Usability & Everyday Products",0.9683187763703417
668,B077T3BG5L,Zebronics ZEB-KM2100 Multimedia USB Keyboard Comes with 114 Keys Including 12 Dedicated Multimedia Keys & with Rupee Key,Computers&Accessories,Accessories&Peripherals,3.6,33735.0,18,11098815.0,855,0.9661,positive,1,"Topic 1: Value, Usability & Everyday Products",0.9869443558451728
